Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
TXN_2756336,Smoothie,3,4,12,Credit Card,Takeaway,2023-07-07
TXN_9691873,Juice,2,ERROR,6,Digital Wallet,Takeaway,2023-02-15
TXN_2466187,Coffee,2,2,4,,Takeaway,2023-04-18
TXN_9699116,Cookie,2,1,2,Digital Wallet,In-store,
TXN_7964520,Coffee,1,2,2,,In-store,2023-03-26
TXN_3185667,Tea,5,UNKNOWN,7.5,Digital Wallet,,2023-12-26
TXN_8167741,Sandwich,4,4,16,,Takeaway,2023-09-09
TXN_1015883,Cookie,4,1,4,Cash,In-store,2023-10-16
TXN_8838566,Cake,5,3,15,Digital Wallet,In-store,2023-07-25
TXN_2423343,Tea,4,1.5,6,ERROR,In-store,2023-09-25
TXN_1496038,Juice,4,3,12,,In-store,2023-12-22
TXN_9484436,Salad,1,,5,Credit Card,In-store,2023-01-20
TXN_7670699,Juice,1,3,3,Cash,In-store,2023-12-24
TXN_7765640,ERROR,ERROR,2,2,Credit Card,,2023-07-07
TXN_5412418,,3,3,9,Cash,,2023-09-23
TXN_2053631,Salad,1,5,5,Credit Card,,2023-03-21
TXN_3632064,Cookie,5,1,5,Cash,,2023-02-12
TXN_4254587,Smoothie,1,4,4,Digital Wallet,,2023-05-27
TXN_9605972,Cake,3,3,9,,ERROR,2023-09-30
TXN_1323030,Salad,4,5,20,,In-store,2023-03-30
TXN_7989903,Juice,2,3,6,Cash,,2023-06-19
TXN_7423885,Juice,4,3,12,Digital Wallet,Takeaway,2023-09-06
TXN_1495371,Sandwich,2,4,ERROR,Credit Card,Takeaway,2023-07-21
TXN_8934025,Cookie,2,1,2,,,2023-12-18
TXN_7515290,Smoothie,UNKNOWN,4,12,Digital Wallet,,2023-12-23
TXN_3711520,Tea,1,1.5,1.5,,In-store,2023-06-29
TXN_3841683,Sandwich,1,4,4,UNKNOWN,In-store,2023-06-20
TXN_9100530,Sandwich,3,4,12,Digital Wallet,,2023-05-21
TXN_3112013,Sandwich,5,4,20,Cash,In-store,2023-01-06
TXN_7786787,Tea,1,1.5,1.5,Credit Card,Takeaway,2023-07-08
TXN_7160196,Sandwich,1,4,4,,In-store,2023-12-06
TXN_4634894,Coffee,1,2,2,,,2023-12-09
TXN_8214944,UNKNOWN,3,1.5,4.5,Credit Card,In-store,2023-11-18
TXN_1080377,Cake,2,3,6,ERROR,,2023-04-08
TXN_8566683,Smoothie,4,4,16,Cash,Takeaway,2023-08-09
TXN_2784588,Juice,2,3,6,Cash,Takeaway,2023-03-26
TXN_6110769,Cookie,2,1,2,,,2023-03-02
TXN_9999124,Juice,2,3,6,Digital Wallet,Takeaway,UNKNOWN
TXN_1637334,ERROR,2,1.5,3,Credit Card,In-store,2023-08-09
TXN_9514452,ERROR,5,,10,Credit Card,Takeaway,2023-07-29
TXN_8787350,Sandwich,5,4,20,,,2023-05-21
TXN_7533675,Smoothie,3,4,12,,In-store,2023-10-28
TXN_2264601,Tea,1,1.5,1.5,,,2023-01-21
TXN_6024139,Juice,4,3,12,Digital Wallet,UNKNOWN,2023-08-15
TXN_9841397,Coffee,4,2,8,Cash,In-store,2023-12-28
TXN_7302991,,4,4,16,Digital Wallet,Takeaway,2023-04-05
TXN_6093331,Smoothie,2,4,8,Credit Card,,2023-06-24
TXN_3087096,Tea,3,,4.5,Cash,,2023-08-19
TXN_8324315,Salad,1,5,5,,,2023-08-07
TXN_8933679,Salad,3,5,15,Digital Wallet,In-store,2023-09-24
